country_names,corona_cases,corona_deaths,recovered
USA,"96,347,971 ","1,071,420","92,023,741"
Vietnam,"11,414,359 ","43,117","10,187,787"
Netherlands,"8,386,307 ","22,600","8,316,044"
Spain,"13,342,530 ","112,600","13,113,979"
Turkey,"16,671,848 ","100,400",N/A
Russia,"19,578,730 ","384,441","18,635,574"
Australia,"10,042,745 ","13,957","9,906,176"
Japan,"18,939,344 ","39,880","17,110,166"
Argentina,"9,678,225 ","129,711","9,064,882"
UK,"23,521,792 ","188,242","22,954,691"
Italy,"21,867,757 ","175,595","21,046,229"
S. Korea,"23,327,897 ","26,876","17,120,321"
Brazil,"34,472,679 ","684,029","33,480,980"
Germany,"32,184,553 ","147,494","31,317,600"
France,"34,529,201 ","154,093","15,867,601"
China,"243,449 ","5,226","231,925"
India,"44,436,339 ","527,911","43,845,680"
Saint Helena,7 ,0,2
Western Sahara,10 ,1,9
Tuvalu,20 ,0,0
Vatican City,29 ,0,29
Niue,70 ,0,60
Wallis and Futuna,761 ,7,438
Macao,793 ,6,785
Montserrat,"1,145 ",8,"1,106"
Falkland Islands,"1,886 ",0,N/A
Palau,"5,348 ",6,"5,265"
Kiribati,"3,430 ",13,"2,703"
Nauru,"4,611 ",1,"4,605"
Saint Pierre Miquelon,"3,131 ",1,"2,449"
Cook Islands,"6,265 ",1,"6,176"
Anguilla,"3,837 ",11,"3,789"
St. Barth,"5,263 ",6,N/A
Sao Tome and Principe,"6,153 ",76,"6,060"
Saint Kitts and Nevis,"6,509 ",46,"6,446"
Turks and Caicos,"6,369 ",36,"6,294"
Micronesia,"7,326 ",26,144
British Virgin Islands,"7,291 ",64,N/A
St. Vincent Grenadines,"7,112 ",115,"6,641"
Chad,"7,538 ",193,"4,874"
Sierra Leone,"7,747 ",126,N/A
Liberia,"7,883 ",294,"7,295"
Comoros,"8,455 ",161,"8,281"
Guinea-Bissau,"8,491 ",175,"8,300"
Antigua and Barbuda,"8,974 ",145,"8,794"
Eritrea,"10,154 ",103,"10,046"
Niger,"9,931 ",312,"8,863"
Caribbean Netherlands,"11,028 ",35,"10,476"
Vanuatu,"11,815 ",14,"11,751"
Sint Maarten,"10,836 ",87,"10,741"
Yemen,"11,926 ","2,155","9,119"
Greenland,"11,971 ",21,"2,761"
Saint Martin,"11,941 ",63,"1,399"
Gambia,"12,311 ",371,"11,788"
Monaco,"14,379 ",57,"14,274"
Marshall Islands,"15,042 ",17,"12,365"
Dominica,"14,852 ",68,"14,554"
CAR,"14,862 ",113,"14,520"
Tonga,"15,235 ",12,"14,317"
Samoa,"15,767 ",29,"1,605"
Equatorial Guinea,"16,956 ",183,"16,621"
Djibouti,"15,690 ",189,"15,427"
Tajikistan,"17,786 ",125,"17,264"
South Sudan,"17,823 ",138,"17,335"
Bermuda,"17,913 ",148,"17,624"
Nicaragua,"18,491 ",225,"4,225"
Liechtenstein,"19,161 ",86,"18,961"
Grenada,"19,289 ",236,"18,878"
Gibraltar,"20,049 ",107,"16,579"
Solomon Islands,"21,544 ",153,"16,357"
San Marino,"20,373 ",118,"20,161"
Burkina Faso,"21,128 ",387,"20,632"
Timor-Leste,"23,163 ",138,"22,981"
Congo,"24,837 ",386,"24,006"
Somalia,"27,020 ","1,350","13,182"
Benin,"27,490 ",163,"27,217"
Cayman Islands,"30,057 ",29,"8,553"
Saint Lucia,"28,775 ",391,"28,260"
Lesotho,"34,206 ",704,"25,740"
Haiti,"33,381 ",841,"30,673"
Faeroe Islands,"34,658 ",28,N/A
Mali,"31,412 ",739,"30,469"
Bahamas,"37,075 ",823,"35,870"
Guinea,"37,470 ",447,"36,763"
Togo,"38,491 ",282,"38,032"
Tanzania,"38,712 ",841,N/A
Mayotte,"40,004 ",187,N/A
Mauritius,"40,178 ","1,022","38,454"
Aruba,"42,792 ",226,"42,340"
Isle of Man,"38,008 ",116,N/A
Papua New Guinea,"44,880 ",664,"43,982"
Curaçao,"45,127 ",282,"44,720"
Seychelles,"46,081 ",169,"45,777"
Gabon,"48,649 ",306,"48,067"
Andorra,"46,027 ",154,"45,791"
Burundi,"49,258 ",38,"47,736"
Bhutan,"61,076 ",21,"60,961"
Syria,"57,043 ","3,163","53,404"
Cabo Verde,"62,320 ",410,"61,838"
Sudan,"63,228 ","4,961",N/A
Madagascar,"66,626 ","1,410","65,084"
Fiji,"68,153 ",878,"66,158"
Belize,"68,302 ",680,"67,477"
Mauritania,"62,765 ",993,"61,732"
Eswatini,"73,367 ","1,422","71,922"
Guyana,"71,035 ","1,278","69,518"
New Caledonia,"73,798 ",314,"73,032"
French Polynesia,"76,439 ",649,N/A
Suriname,"81,039 ","1,383","49,614"
Ivory Coast,"86,738 ",819,"85,821"
Malawi,"87,860 ","2,676","84,919"
Senegal,"88,082 ","1,968","85,958"
Channel Islands,"89,657 ",198,"89,125"
French Guiana,"93,586 ",408,"11,254"
DRC,"92,634 ","1,400","83,504"
Barbados,"101,120 ",542,"99,116"
Angola,"102,636 ","1,917","100,437"
Cameroon,"121,652 ","1,935","118,616"
Malta,"114,075 ",801,"112,754"
Cambodia,"137,629 ","3,056","134,454"
Ghana,"168,580 ","1,459","167,080"
Jamaica,"149,798 ","3,254","96,611"
Rwanda,"132,439 ","1,466","130,901"
Namibia,"169,253 ","4,065","164,813"
Trinidad and Tobago,"179,146 ","4,144","169,308"
Maldives,"184,856 ",308,"163,687"
Guadeloupe,"191,997 ",986,N/A
Uganda,"169,396 ","3,628","100,431"
Afghanistan,"193,004 ","7,777","171,519"
El Salvador,"201,785 ","4,223","179,266"
Iceland,"204,717 ",179,N/A
Kyrgyzstan,"205,716 ","2,991","196,406"
Martinique,"218,764 ","1,035",N/A
Laos,"214,169 ",757,N/A
Brunei ,"220,245 ",225,"219,561"
Mozambique,"230,076 ","2,219","227,709"
Zimbabwe,"256,726 ","5,596","250,977"
Uzbekistan,"243,743 ","1,637","241,486"
Nigeria,"263,526 ","3,148","257,343"
Algeria,"270,304 ","6,878","181,938"
Luxembourg,"284,931 ","1,114","275,850"
Montenegro,"275,538 ","2,773","270,143"
Albania,"329,352 ","3,582","321,333"
Botswana,"325,864 ","2,778","322,955"
Zambia,"332,822 ","4,016","328,412"
Kenya,"338,183 ","5,674","332,375"
North Macedonia,"340,341 ","9,489","329,192"
Oman,"397,846 ","4,260","384,669"
Bosnia and Herzegovina,"395,850 ","16,050","374,060"
Qatar,"429,963 ",681,"424,872"
Honduras,"453,443 ","10,972",N/A
Armenia,"434,398 ","8,655","421,316"
Réunion,"456,141 ",861,"418,572"
Ethiopia,"493,190 ","7,572","471,641"
Libya,"506,790 ","6,437","500,138"
Egypt,"515,645 ","24,613","442,182"
Venezuela,"542,508 ","5,796","534,949"
Moldova,"569,088 ","11,725","504,142"
Cyprus,"576,278 ","1,168","546,203"
Estonia,"597,759 ","2,651","524,990"
Myanmar,"615,221 ","19,438","593,615"
Palestine,"619,519 ","5,396","600,498"
Kuwait,"657,395 ","2,563","654,470"
Dominican Republic,"638,500 ","4,384","632,911"
Sri Lanka,"669,957 ","16,698","652,278"
Bahrain,"671,697 ","1,515","668,654"
Paraguay,"715,162 ","19,478","693,283"
Azerbaijan,"812,816 ","9,805","799,479"
Saudi Arabia,"813,461 ","9,295","800,618"
Latvia,"899,938 ","5,947","882,593"
UAE,"1,015,879 ","2,341","994,898"
Panama,"978,181 ","8,470","962,280"
Costa Rica,"1,049,554 ","8,836","860,711"
Uruguay,"979,160 ","7,445","970,116"
Belarus,"994,037 ","7,118","985,592"
Mongolia,"978,960 ","2,179","941,511"
Nepal,"997,526 ","12,002","982,366"
Ecuador,"995,968 ","35,843","942,651"
Bolivia,"1,101,652 ","22,198","1,029,045"
Guatemala,"1,101,954 ","19,490","1,074,566"
Cuba,"1,110,539 ","8,530","1,101,746"
Slovenia,"1,128,259 ","6,783","1,100,546"
Tunisia,"1,143,862 ","29,234",N/A
Lithuania,"1,219,230 ","9,291","1,189,709"
Croatia,"1,214,579 ","16,712","1,192,061"
Lebanon,"1,209,478 ","10,627","1,087,587"
Bulgaria,"1,242,910 ","37,603","1,192,990"
Finland,"1,258,798 ","5,577","1,212,326"
Morocco,"1,264,435 ","16,273","1,247,776"
Kazakhstan,"1,388,689 ","13,684","1,357,886"
Norway,"1,460,127 ","3,980","1,429,233"
Pakistan,"1,569,295 ","30,582","1,528,907"
Hong Kong,"1,540,803 ","9,690","1,316,455"
Ireland,"1,656,956 ","7,798","262,338"
Jordan,"1,735,495 ","14,110","1,718,032"
New Zealand,"1,743,042 ","2,744","1,726,116"
Georgia,"1,735,682 ","16,889","1,637,293"
Slovakia,"1,834,717 ","20,357","1,809,356"
Singapore,"1,839,244 ","1,592","1,760,918"
Bangladesh,"2,011,946 ","29,323","1,956,483"
Hungary,"2,048,547 ","47,291","1,962,698"
Iraq,"2,457,871 ","25,346","2,429,962"
Serbia,"2,283,195 ","16,684","2,186,367"
Denmark,"3,091,962 ","6,923","3,075,186"
Sweden,"2,564,423 ","19,779","2,518,908"
Philippines,"3,880,229 ","61,814","3,794,234"
Romania,"3,221,984 ","66,728","3,104,016"
Switzerland,"4,025,870 ","14,148","3,937,098"
South Africa,"4,011,937 ","102,084","3,902,822"
Belgium,"4,482,315 ","32,516","4,340,441"
Czechia,"4,042,708 ","40,829","3,985,879"
Israel,"4,633,426 ","11,620","4,610,924"
Peru,"4,103,874 ","215,762","3,372,007"
Canada,"4,158,491 ","43,797","3,927,670"
Thailand,"4,652,923 ","32,331","4,604,605"
Chile,"4,508,422 ","60,451","4,423,279"
Greece,"4,762,827 ","32,552","4,389,584"
DPRK,"4,772,813 ",74,"4,772,739"
Austria,"4,912,972 ","19,428","4,829,500"
Malaysia,"4,782,624 ","36,216","4,715,417"
Taiwan,"5,342,106 ","9,950","4,836,563"
Portugal,"5,420,140 ","24,855","4,237,853"
Ukraine,"5,044,941 ","108,803","4,904,953"
Poland,"6,180,224 ","117,119","5,335,960"
Colombia,"6,299,595 ","141,519","6,122,457"
Indonesia,"6,362,902 ","157,591","6,160,877"
Mexico,"7,027,252 ","329,494","6,280,542"
Iran,"7,528,961 ","143,867","7,296,683"
